Machine,    Commit,  Commit description,        Commit date, Test date,  Recipe,          Test, Duration (m:s)
P0728 (MK), 7d0618b, "Before refactor closure", 09/12/25,    15/01/2026, CVODE,            1,   16m 10s
P0728 (MK), 7d0618b, "Before refactor closure", 09/12/25,    15/01/2026, CVODE,            2,   18m 40s
P0728 (MK), 7d0618b, "Before refactor closure", 09/12/25,    15/01/2026, CVODE,            3,   11m 12s
P0728 (MK), 7d0618b, "Before refactor closure", 09/12/25,    15/01/2026, SNES-MUMPS-1,     1,   8m 35s
P0728 (MK), 7d0618b, "Before refactor closure", 09/12/25,    15/01/2026, SNES-MUMPS-1,     2,   4m 11s
P0728 (MK), 7d0618b, "Before refactor closure", 09/12/25,    15/01/2026, SNES-MUMPS-1,     3,   58m 46s
P0728 (MK), 7d0618b, "Before refactor closure", 09/12/25,    15/01/2026, SNES-STRUMPACK-3, 2,   39m 39s
P0728 (MK), 03b4aff, "After refactor closure",  10/12/25,    15/01/2026, SNES-MUMPS-1,     2,   1m 50s
P0728 (MK), 4cbf2d5, "Before access control",   06/01/25,    15/01/2026, SNES-MUMPS-1,     2,   1m 45s
P0728 (MK), 053c9bb, "After access control",    07/01/25,    15/01/2026, SNES-MUMPS-1,     2,   1m 52s
P0728 (MK), f6ae2d1, "Master Jan 29th",         30/01/25,    30/01/2026, SNES-MUMPS-1,     2,   3m 5s
P0728 (MK), f6ae2d1, "Master Jan 29th",         30/01/25,    30/01/2026, TS-PSEUDO-1,      2,   21s
P0728 (MK), f6ae2d1, "Master Jan 29th",         30/01/25,    30/01/2026, TS-PSEUDO-1,      2long,   7m 53s
